ironbow,white_hot,black_hot,rainbow,hog,mellow_yellow
0xff000000,0xff000000,0xffebebeb,0xffff00ff,0xff616161,0xff1d3560
0xff330000,0xff020202,0xffe9e9e9,0xffff00fb,0xff636363,0xff1e3661
0xff510000,0xff040404,0xffe8e8e8,0xffff00f7,0xff646464,0xff1f3862
0xff630004,0xff060606,0xffe6e6e6,0xffff00f3,0xff666666,0xff203963
0xff73000b,0xff080808,0xffe4e4e4,0xffff00ef,0xff686868,0xff203a64
0xff7b0014,0xff0a0a0a,0xffe2e2e2,0xffff00eb,0xff6a6a6a,0xff213c65
0xff850021,0xff0c0c0c,0xffe1e1e1,0xffff00e7,0xff6b6b6b,0xff223d66
0xff8c0030,0xff0e0e0e,0xffdfdfdf,0xffff00e3,0xff6d6d6d,0xff233e67
0xff92003d,0xff101010,0xffdddddd,0xffff00df,0xff6f6f6f,0xff244068
0xff960048,0xff121212,0xffdcdcdc,0xffff00db,0xff717171,0xff254169
0xff980054,0xff141414,0xffdadada,0xffff00d7,0xff727272,0xff25426b
0xff9b0061,0xff161616,0xffd8d8d8,0xffff00d3,0xff747474,0xff26446c
0xff9c006e,0xff181818,0xffd6d6d6,0xffff00cf,0xff767676,0xff27456d
0xff9d007a,0xff1a1a1a,0xffd5d5d5,0xffff00cb,0xff777777,0xff28466e
0xff9d0086,0xff1c1c1c,0xffd3d3d3,0xffff00c7,0xff797979,0xff29486f
0xff9c0092,0xff1e1e1e,0xffd1d1d1,0xffff00c3,0xff7b7b7b,0xff2a4970
0xff9b0098,0xff202020,0xffd0d0d0,0xffff00bf,0xff7d7d7d,0xff2a4b71
0xff9b009d,0xff222222,0xffcecece,0xffff00bb,0xff7e7e7e,0xff2b4c72
0xff9b00a2,0xff242424,0xffcccccc,0xffff00b7,0xff808080,0xff2c4d73
0xff9a00a7,0xff262626,0xffcacaca,0xffff00b3,0xff828282,0xff2d4f74
0xff9900ab,0xff282828,0xffc9c9c9,0xffff00af,0xff848484,0xff2e5075
0xff9801af,0xff2a2a2a,0xffc7c7c7,0xffff00ab,0xff858585,0xff2f5176
0xff9701b2,0xff2c2c2c,0xffc5c5c5,0xffff00a7,0xff878787,0xff2f5377
0xff9502b6,0xff2e2e2e,0xffc3c3c3,0xffff00a3,0xff898989,0xff305478
0xff9504b9,0xff303030,0xffc2c2c2,0xffff009f,0xff8a8a8a,0xff315579
0xff9305bc,0xff323232,0xffc0c0c0,0xffff009b,0xff8c8c8c,0xff32577a
0xff9206bf,0xff343434,0xffbebebe,0xffff0097,0xff8e8e8e,0xff33587b
0xff9008c1,0xff363636,0xffbdbdbd,0xffff0093,0xff909090,0xff34597c
0xff8e0bc3,0xff383838,0xffbbbbbb,0xffff008f,0xff919191,0xff345b7e
0xff8b0dc6,0xff3a3a3a,0xffb9b9b9,0xffff008b,0xff939393,0xff355c7f
0xff8711c9,0xff3c3c3c,0xffb7b7b7,0xffff0087,0xff959595,0xff365d80
0xff8414cb,0xff3e3e3e,0xffb6b6b6,0xffff0083,0xff969696,0xff375f81
0xff7f17ce,0xff404040,0xffb4b4b4,0xffff007f,0xff989898,0xff386082
